Date,AAPL,AMZN,GOOG,MSFT
2018-06-20,44.558353424072266,87.50399780273438,58.492000579833984,96.34844207763672
2018-06-21,44.30988311767578,86.51100158691406,57.882999420166016,95.65797424316406
2018-06-22,44.18087387084961,85.78350067138672,57.77399826049805,94.96754455566406
2018-06-25,43.523834228515625,83.15750122070312,56.240501403808594,93.0570297241211
2018-06-26,44.06379318237305,84.55449676513672,55.92300033569336,93.70965576171875
2018-06-27,43.99928665161133,83.02549743652344,55.19900131225586,92.25310516357422
2018-06-28,44.31945037841797,85.07250213623047,55.71099853515625,93.28404235839844
2018-06-29,44.226261138916016,84.98999786376953,55.782501220703125,93.26512908935547
2018-07-02,44.7208251953125,85.68900299072266,56.37300109863281,94.58922576904297
2018-07-03,43.94194793701172,84.697998046875,55.144500732421875,93.68125915527344
2018-07-05,44.29554748535156,84.98650360107422,56.2135009765625,94.35279083251953
2018-07-06,44.909576416015625,85.53150177001953,57.00849914550781,95.67691040039062
2018-07-09,45.533145904541016,86.95099639892578,57.70249938964844,96.32951354980469
2018-07-10,45.47820281982422,87.15350341796875,57.641998291015625,96.58487701416016
2018-07-11,44.88806915283203,87.75,57.69499969482422,96.45246124267578
2018-07-12,45.640655517578125,89.83100128173828,59.17399978637695,98.54267120361328
2018-07-13,45.71234130859375,90.65149688720703,59.441001892089844,99.7154541015625
2018-07-16,45.612003326416016,91.12449645996094,59.19300079345703,99.22364807128906
2018-07-17,45.74100875854492,92.19650268554688,59.939998626708984,100.207275390625
2018-07-18,45.490150451660156,92.14600372314453,59.79399871826172,99.42225646972656
2018-07-19,45.843746185302734,90.64849853515625,59.347999572753906,98.74127960205078
2018-07-20,45.73861312866211,90.68499755859375,59.24549865722656,100.5099105834961
2018-07-23,45.779239654541016,90.0999984741211,60.275001525878906,102.1177978515625
2018-07-24,46.111331939697266,91.46199798583984,62.40399932861328,101.82459259033203
2018-07-25,46.546165466308594,93.18049621582031,63.185001373291016,104.82276916503906
2018-07-26,46.40042495727539,90.4000015258789,63.416500091552734,103.6783676147461
2018-07-27,45.628719329833984,90.8635025024414,61.92499923706055,101.8435287475586
2018-07-30,45.373077392578125,88.96099853515625,60.98699951171875,99.65870666503906
2018-07-31,45.4638557434082,88.87200164794922,60.862998962402344,100.33023834228516
2018-08-01,48.142147064208984,89.8584976196289,61.0004997253418,100.51937866210938
2018-08-02,49.549381256103516,91.71649932861328,61.307498931884766,101.73946380615234
2018-08-03,49.6927375793457,91.16449737548828,61.18550109863281,102.1839828491211
2018-08-06,49.95075607299805,92.38749694824219,61.23849868774414,102.26911926269531
2018-08-07,49.482479095458984,93.1240005493164,62.111000061035156,102.97846221923828
2018-08-08,49.515933990478516,94.32599639892578,62.28049850463867,103.5553970336914
2018-08-09,49.905364990234375,94.9260025024414,62.45500183105469,103.72563171386719
2018-08-10,49.7567138671875,94.31500244140625,61.88050079345703,103.09194946289062
